"DAY" "MONTH" "YEAR" "TEMP"
"1" 1 1 1995 44
"2" 1 2 1995 41.8
"3" 1 3 1995 28.1
"4" 1 4 1995 31.7
"5" 1 5 1995 21.3
"6" 1 6 1995 27.9
"7" 1 7 1995 42.8
"8" 1 8 1995 35.5
"9" 1 9 1995 34.4
"10" 1 10 1995 29.9
"11" 1 11 1995 30.7
"12" 1 12 1995 35.5
"13" 1 13 1995 47.2
"14" 1 14 1995 52.4
"15" 1 15 1995 56.9
"16" 1 16 1995 55.2
"17" 1 17 1995 50.3
"18" 1 18 1995 42.6
"19" 1 19 1995 39.3
"20" 1 20 1995 43.1
"21" 1 21 1995 43.2
"22" 1 22 1995 36
"23" 1 23 1995 33.3
"24" 1 24 1995 35.8
"25" 1 25 1995 38.3
"26" 1 26 1995 36.6
"27" 1 27 1995 34.3
"28" 1 28 1995 28.2
"29" 1 29 1995 26
"30" 1 30 1995 33.8
"31" 1 31 1995 36.6
"32" 2 1 1995 40.5
"33" 2 2 1995 40.6
"34" 2 3 1995 25.6
"35" 2 4 1995 31.3
"36" 2 5 1995 24.7
"37" 2 6 1995 11.1
"38" 2 7 1995 19
"39" 2 8 1995 23.7
"40" 2 9 1995 22.3
"41" 2 10 1995 33
"42" 2 11 1995 39.6
"43" 2 12 1995 23.1
"44" 2 13 1995 19.1
"45" 2 14 1995 27.5
"46" 2 15 1995 29.8
"47" 2 16 1995 39.9
"48" 2 17 1995 39.4
"49" 2 18 1995 40.5
"50" 2 19 1995 40.6
"51" 2 20 1995 43.1
"52" 2 21 1995 38.1
"53" 2 22 1995 35.3
"54" 2 23 1995 40.2
"55" 2 24 1995 43.3
"56" 2 25 1995 31.2
"57" 2 26 1995 28.4
"58" 2 27 1995 29.8
"59" 2 28 1995 34.9
"60" 3 1 1995 39.7
"61" 3 2 1995 35
"62" 3 3 1995 32.6
"63" 3 4 1995 35.4
"64" 3 5 1995 39
"65" 3 6 1995 44
"66" 3 7 1995 45.8
"67" 3 8 1995 52.6
"68" 3 9 1995 35.3
"69" 3 10 1995 27.6
"70" 3 11 1995 37.5
"71" 3 12 1995 40
"72" 3 13 1995 51.2
"73" 3 14 1995 51.8
"74" 3 15 1995 51.2
"75" 3 16 1995 49.7
"76" 3 17 1995 49
"77" 3 18 1995 47.6
"78" 3 19 1995 46.3
"79" 3 20 1995 45.6
"80" 3 21 1995 51.4
"81" 3 22 1995 49.2
"82" 3 23 1995 46
"83" 3 24 1995 43.6
"84" 3 25 1995 41.6
"85" 3 26 1995 49.9
"86" 3 27 1995 48
"87" 3 28 1995 46.7
"88" 3 29 1995 47.9
"89" 3 30 1995 46.7
"90" 3 31 1995 47.6
"91" 4 1 1995 45.8
"92" 4 2 1995 44.1
"93" 4 3 1995 44.2
"94" 4 4 1995 52.2
"95" 4 5 1995 32.2
"96" 4 6 1995 35.3
"97" 4 7 1995 49.6
"98" 4 8 1995 43.8
"99" 4 9 1995 48.1
"100" 4 10 1995 44.6
"101" 4 11 1995 48.1
"102" 4 12 1995 46.5
"103" 4 13 1995 55.1
"104" 4 14 1995 48.7
"105" 4 15 1995 48.3
"106" 4 16 1995 50.9
"107" 4 17 1995 50.3
"108" 4 18 1995 53.1
"109" 4 19 1995 58.1
"110" 4 20 1995 59.5
"111" 4 21 1995 58.4
"112" 4 22 1995 59.5
"113" 4 23 1995 54.3
"114" 4 24 1995 52.3
"115" 4 25 1995 54.5
"116" 4 26 1995 56.6
"117" 4 27 1995 61.7
"118" 4 28 1995 63.4
"119" 4 29 1995 59.4
"120" 4 30 1995 51.5
"121" 5 1 1995 50.7
"122" 5 2 1995 50.6
"123" 5 3 1995 57.2
"124" 5 4 1995 62.9
"125" 5 5 1995 58
"126" 5 6 1995 58.9
"127" 5 7 1995 57.9
"128" 5 8 1995 55.6
"129" 5 9 1995 61
"130" 5 10 1995 54.7
"131" 5 11 1995 52
"132" 5 12 1995 56.8
"133" 5 13 1995 62.3
"134" 5 14 1995 58.9
"135" 5 15 1995 56.1
"136" 5 16 1995 62.8
"137" 5 17 1995 63.7
"138" 5 18 1995 67.1
"139" 5 19 1995 58.3
"140" 5 20 1995 63.5
"141" 5 21 1995 70.3
"142" 5 22 1995 69.5
"143" 5 23 1995 66.3
"144" 5 24 1995 74.1
"145" 5 25 1995 69.3
"146" 5 26 1995 58.6
"147" 5 27 1995 63.3
"148" 5 28 1995 60.4
"149" 5 29 1995 64.7
"150" 5 30 1995 68.5
"151" 5 31 1995 73.4
"152" 6 1 1995 77.5
"153" 6 2 1995 71.4
"154" 6 3 1995 74.6
"155" 6 4 1995 72.3
"156" 6 5 1995 71.9
"157" 6 6 1995 73.8
"158" 6 7 1995 72.6
"159" 6 8 1995 78.7
"160" 6 9 1995 67.3
"161" 6 10 1995 68.1
"162" 6 11 1995 70.2
"163" 6 12 1995 68.7
"164" 6 13 1995 62.9
"165" 6 14 1995 66
"166" 6 15 1995 70
"167" 6 16 1995 73.5
"168" 6 17 1995 76.8
"169" 6 18 1995 80.4
"170" 6 19 1995 84.6
"171" 6 20 1995 86.4
"172" 6 21 1995 70.1
"173" 6 22 1995 67.8
"174" 6 23 1995 67.8
"175" 6 24 1995 67.1
"176" 6 25 1995 69.4
"177" 6 26 1995 72.5
"178" 6 27 1995 69.2
"179" 6 28 1995 63
"180" 6 29 1995 67
"181" 6 30 1995 73
"182" 7 1 1995 73.4
"183" 7 2 1995 73
"184" 7 3 1995 71
"185" 7 4 1995 74.9
"186" 7 5 1995 74.8
"187" 7 6 1995 75.5
"188" 7 7 1995 75
"189" 7 8 1995 76.8
"190" 7 9 1995 69.3
"191" 7 10 1995 74.1
"192" 7 11 1995 73.7
"193" 7 12 1995 74
"194" 7 13 1995 79.8
"195" 7 14 1995 87.5
"196" 7 15 1995 93.7
"197" 7 16 1995 82.6
"198" 7 17 1995 77.6
"199" 7 18 1995 77.7
"200" 7 19 1995 81.7
"201" 7 20 1995 82.3
"202" 7 21 1995 80.9
"203" 7 22 1995 78.8
"204" 7 23 1995 78.8
"205" 7 24 1995 82.3
"206" 7 25 1995 81.2
"207" 7 26 1995 83.9
"208" 7 27 1995 86.7
"209" 7 28 1995 81.2
"210" 7 29 1995 87.4
"211" 7 30 1995 85.1
"212" 7 31 1995 82.5
"213" 8 1 1995 84.8
"214" 8 2 1995 86.3
"215" 8 3 1995 80.6
"216" 8 4 1995 85.7
"217" 8 5 1995 81.6
"218" 8 6 1995 73.2
"219" 8 7 1995 71.5
"220" 8 8 1995 71.6
"221" 8 9 1995 74.7
"222" 8 10 1995 76.4
"223" 8 11 1995 78.8
"224" 8 12 1995 82.4
"225" 8 13 1995 81.9
"226" 8 14 1995 81.7
"227" 8 15 1995 78.9
"228" 8 16 1995 79.7
"229" 8 17 1995 81.6
"230" 8 18 1995 83
"231" 8 19 1995 75.3
"232" 8 20 1995 72.4
"233" 8 21 1995 77.6
"234" 8 22 1995 82
"235" 8 23 1995 75.3
"236" 8 24 1995 76.8
"237" 8 25 1995 72
"238" 8 26 1995 72.1
"239" 8 27 1995 77.3
"240" 8 28 1995 72.8
"241" 8 29 1995 72.2
"242" 8 30 1995 72.7
"243" 8 31 1995 75.8
"244" 9 1 1995 78.7
"245" 9 2 1995 75.1
"246" 9 3 1995 72.2
"247" 9 4 1995 74.5
"248" 9 5 1995 75.9
"249" 9 6 1995 77
"250" 9 7 1995 77.3
"251" 9 8 1995 73.7
"252" 9 9 1995 68
"253" 9 10 1995 68.3
"254" 9 11 1995 62.6
"255" 9 12 1995 67.9
"256" 9 13 1995 74.1
"257" 9 14 1995 79.1
"258" 9 15 1995 69.2
"259" 9 16 1995 66
"260" 9 17 1995 65.6
"261" 9 18 1995 67.5
"262" 9 19 1995 63.1
"263" 9 20 1995 63.6
"264" 9 21 1995 70
"265" 9 22 1995 71.2
"266" 9 23 1995 59.3
"267" 9 24 1995 57.6
"268" 9 25 1995 59.8
"269" 9 26 1995 60.4
"270" 9 27 1995 64.8
"271" 9 28 1995 68.2
"272" 9 29 1995 61.2
"273" 9 30 1995 59
"274" 10 1 1995 62.7
"275" 10 2 1995 68.8
"276" 10 3 1995 71.7
"277" 10 4 1995 71.7
"278" 10 5 1995 68.6
"279" 10 6 1995 75.3
"280" 10 7 1995 61.7
"281" 10 8 1995 64.4
"282" 10 9 1995 61.7
"283" 10 10 1995 62.2
"284" 10 11 1995 65.7
"285" 10 12 1995 69.8
"286" 10 13 1995 74.2
"287" 10 14 1995 70.2
"288" 10 15 1995 60.2
"289" 10 16 1995 54.8
"290" 10 17 1995 54.3
"291" 10 18 1995 58.8
"292" 10 19 1995 62.5
"293" 10 20 1995 65.1
"294" 10 21 1995 67.5
"295" 10 22 1995 55.2
"296" 10 23 1995 62.4
"297" 10 24 1995 65
"298" 10 25 1995 60.5
"299" 10 26 1995 55
"300" 10 27 1995 57.5
"301" 10 28 1995 65.6
"302" 10 29 1995 55.6
"303" 10 30 1995 49.8
"304" 10 31 1995 53.7
"305" 11 1 1995 55.3
"306" 11 2 1995 62.1
"307" 11 3 1995 67
"308" 11 4 1995 50.1
"309" 11 5 1995 41.2
"310" 11 6 1995 44.6
"311" 11 7 1995 49.5
"312" 11 8 1995 48.1
"313" 11 9 1995 38.5
"314" 11 10 1995 43.4
"315" 11 11 1995 56.9
"316" 11 12 1995 47.7
"317" 11 13 1995 37.4
"318" 11 14 1995 43.6
"319" 11 15 1995 45.6
"320" 11 16 1995 39.2
"321" 11 17 1995 38.8
"322" 11 18 1995 42.7
"323" 11 19 1995 46.3
"324" 11 20 1995 43.6
"325" 11 21 1995 48.2
"326" 11 22 1995 41.5
"327" 11 23 1995 38.8
"328" 11 24 1995 40
"329" 11 25 1995 35
"330" 11 26 1995 40.4
"331" 11 27 1995 47
"332" 11 28 1995 57
"333" 11 29 1995 36.1
"334" 11 30 1995 32.8
"335" 12 1 1995 41.1
"336" 12 2 1995 44.8
"337" 12 3 1995 41.5
"338" 12 4 1995 49.8
"339" 12 5 1995 39.4
"340" 12 6 1995 43.8
"341" 12 7 1995 38.6
"342" 12 8 1995 32.5
"343" 12 9 1995 32.9
"344" 12 10 1995 26.6
"345" 12 11 1995 20.3
"346" 12 12 1995 21.8
"347" 12 13 1995 26
"348" 12 14 1995 28.6
"349" 12 15 1995 38.1
"350" 12 16 1995 38.1
"351" 12 17 1995 38.9
"352" 12 18 1995 35.5
"353" 12 19 1995 30.8
"354" 12 20 1995 23.7
"355" 12 21 1995 24.8
"356" 12 22 1995 32.3
"357" 12 23 1995 33.7
"358" 12 24 1995 33.5
"359" 12 25 1995 32.2
"360" 12 26 1995 31.7
"361" 12 27 1995 28.1
"362" 12 28 1995 31.9
"363" 12 29 1995 32.9
"364" 12 30 1995 35.8
"365" 12 31 1995 39
"366" 1 1 1996 38.6
"367" 1 2 1996 35.9
"368" 1 3 1996 28.8
"369" 1 4 1996 20.8
"370" 1 5 1996 23.1
"371" 1 6 1996 14.1
"372" 1 7 1996 16.6
"373" 1 8 1996 21.4
"374" 1 9 1996 24.2
"375" 1 10 1996 27.1
"376" 1 11 1996 24.1
